reqID, nodeID, employee, status
f01PTBD14637,fPATI02003,14637,0
f01PTBD95278,FHALL00101,95278,0
f01RECL98468,FHALL01001,98468,0
f01PTBD27854,FHALL01901,27854,0
f01XRAY36589,FSERV00401,36589,0
f01IPMP11249,FRETL00101,11249,0
f01RECL20139,FSERV00501,20139,0
f01RECL54796,HHALL00202,54796,0
f01IPMP19735,fPATI01903,19735,0
f01IPMP16825,HHALL00602,16825,0
f01IPMP96758,HBATH00203,96758,0
f01PTBD98741,HHALL00503,98741,0
f01PTBD46378,HHALL01203,46378,0
f01PTBD12575,CLABS001L1,12575,0
f01PTBD22587,WELEV00ML2,22587,0
f01RECL22489,fSTOR00101,22489,0
f01IPMP35965,fSTOR00303,35965,0
f02PTBD35965,fPATI00103,35965,0
f03PTBD35965,fPATI00403,35965,0
f01IPMP47847,fPATI01903,47847,0
